Hobbies,Skills,Interest,University,Dedication_Hours_Per_Week,Sports/Clubs,Choice_of_Selection,Course_Fee,Learning_Environment,Assessment,Desired_Industries,Predicted Degree
Reading,Programming,Engineering,ICBT Campus,Under 10 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Business Analytics,Arts
Reading,Communication,Science,ICBT Campus,10 - 20 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,Cyber Security,Arts
Reading,Leadership,Technology,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Internship,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Software Engineering,Arts
Art,Communication,Science,Sri Lanka Institute of Information Technology,Over 30 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Art,Arts
Reading,Communication,Engineering,ICBT Campus,Under 10 hours,No,Success Rates,"Less than Rs 1,000,000/=",Large Lectures,Reports,Healthcare,Arts
Travel,Problem Solving,Technology,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Business Analytics,Arts
Music,Problem Solving,Arts,Esoft Metro Campus,20 - 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Business Information Systems,Arts
Music,Communication,Arts,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Law,Arts
Reading,Communication,Science,ICBT Campus,Under 10 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Business Management,Arts
Art,Communication,Science,Esoft Metro Campus,20 - 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Reports,Art,Arts
Art,Problem Solving,Engineering,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Business Management,Arts
Travel,Problem Solving,Engineering,Informatics Institute of Technology,Over 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Presentations,AI & Data Science,Arts
Reading,Programming,Business,Esoft Metro Campus,Over 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Reports,Business Information Systems,Arts
Music,Programming,Engineering,Informatics Institute of Technology,20 - 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Reports,Healthcare,Arts
Art,Communication,Business,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Healthcare,Arts
Reading,Leadership,Technology,Esoft Metro Campus,20 - 30 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Business Management,Arts
Art,Leadership,Science,Informatics Institute of Technology,Under 10 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Software Engineering,Arts
Art,Problem Solving,Technology,ICBT Campus,Under 10 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Reports,AI & Data Science,Arts
Music,Problem Solving,Engineering,ICBT Campus,10 - 20 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Reports,Network Security,Arts
Sports,Problem Solving,Technology,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Law,Science
Travel,Communication,Technology,Esoft Metro Campus,20 - 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Business Information Systems,Arts
Travel,Leadership,Technology,Esoft Metro Campus,Over 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Large Lectures,Exams,Computer Science,Arts
Music,Programming,Engineering,Esoft Metro Campus,10 - 20 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Art,Arts
Art,Communication,Technology,Sri Lanka Institute of Information Technology,Over 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Cyber Security,Arts
Reading,Programming,Business,Esoft Metro Campus,20 - 30 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Business Management,Arts
Art,Programming,Engineering,ICBT Campus,Under 10 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Art,Arts
Music,Communication,Technology,Informatics Institute of Technology,10 - 20 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Art,Arts
Travel,Programming,Engineering,ICBT Campus,20 - 30 hours,Yes,Internship,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Computer Science,Arts
Art,Leadership,Arts,ICBT Campus,10 - 20 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Computer Science,Arts
Travel,Programming,Business,Informatics Institute of Technology,10 - 20 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,AI & Data Science,Arts
Reading,Leadership,Technology,ICBT Campus,Under 10 hours,No,Internship,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Business Information Systems,Arts
Travel,Leadership,Arts,Sri Lanka Institute of Information Technology,20 - 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Reports,Software Engineering,Arts
Travel,Leadership,Arts,Informatics Institute of Technology,Over 30 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Law,Arts
Sports,Problem Solving,Engineering,ICBT Campus,10 - 20 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Reports,Healthcare,Science
Sports,Programming,Arts,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Success Rates,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Computer Science,Science
Sports,Communication,Business,ICBT Campus,Over 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Reports,Computer Science,Science
Travel,Communication,Business,Sri Lanka Institute of Information Technology,20 - 30 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Cyber Security,Arts
Music,Programming,Science,Esoft Metro Campus,10 - 20 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Network Security,Arts
Travel,Problem Solving,Business,ICBT Campus,10 - 20 hours,No,Internship,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Computer Science,Arts
Music,Problem Solving,Arts,Esoft Metro Campus,10 - 20 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Network Security,Arts
Music,Leadership,Business,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Exams,AI & Data Science,Arts
Sports,Programming,Engineering,ICBT Campus,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Presentations,Software Engineering,Science
Art,Programming,Science,Informatics Institute of Technology,Over 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Art,Arts
Reading,Communication,Arts,Esoft Metro Campus,20 - 30 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Healthcare,Arts
Sports,Programming,Science,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Computer Science,Science
Sports,Problem Solving,Arts,Informatics Institute of Technology,Under 10 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Business Management,Science
Art,Programming,Engineering,Informatics Institute of Technology,Over 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Presentations,Network Security,Arts
Reading,Communication,Science,Informatics Institute of Technology,10 - 20 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Cyber Security,Arts
Travel,Leadership,Technology,Informatics Institute of Technology,20 - 30 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Law,Arts
Travel,Communication,Arts,ICBT Campus,10 - 20 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Cyber Security,Arts
Sports,Communication,Technology,ICBT Campus,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Reports,Computer Science,Science
Reading,Leadership,Science,ICBT Campus,Under 10 hours,No,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Business Information Systems,Arts
Sports,Communication,Technology,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Exams,Art,Science
Music,Communication,Technology,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Exams,Software Engineering,Arts
Sports,Programming,Science,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Internship,"Less than Rs 1,000,000/=",Large Lectures,Reports,Business Management,Science
Sports,Programming,Engineering,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Business Information Systems,Science
Travel,Leadership,Technology,Asia Pacific Institute of Information Technology,Over 30 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Reports,Cyber Security,Arts
Travel,Programming,Technology,ICBT Campus,20 - 30 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Network Security,Arts
Travel,Programming,Engineering,ICBT Campus,10 - 20 hours,Yes,Internship,"Less than Rs 1,000,000/=",Large Lectures,Exams,Network Security,Arts
Music,Communication,Technology,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Exams,Business Information Systems,Arts
Travel,Problem Solving,Technology,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Network Security,Arts
Reading,Programming,Technology,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Cyber Security,Arts
Art,Problem Solving,Business,Esoft Metro Campus,Under 10 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Business Information Systems,Arts
Reading,Programming,Engineering,Sri Lanka Institute of Information Technology,10 - 20 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Cyber Security,Arts
Reading,Programming,Technology,Informatics Institute of Technology,20 - 30 hours,Yes,Internship,"More than Rs 3,000,000/=",Discussion Groups,Reports,Business Management,Arts
Travel,Leadership,Engineering,ICBT Campus,Under 10 hours,Yes,Internship,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Art,Arts
Art,Leadership,Arts,Informatics Institute of Technology,20 - 30 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Law,Arts
Art,Leadership,Arts,ICBT Campus,Under 10 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Business Management,Arts
Art,Problem Solving,Technology,ICBT Campus,Over 30 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Business Management,Arts
Music,Communication,Engineering,Sri Lanka Institute of Information Technology,Over 30 hours,No,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Exams,Network Security,Arts
Travel,Programming,Engineering,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Computer Science,Arts
Art,Programming,Engineering,Informatics Institute of Technology,10 - 20 hours,No,Internship,"More than Rs 3,000,000/=",Large Lectures,Exams,Business Analytics,Arts
Music,Programming,Business,ICBT Campus,Under 10 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Network Security,Arts
Sports,Problem Solving,Arts,Informatics Institute of Technology,Under 10 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Exams,Computer Science,Science
Sports,Leadership,Engineering,Esoft Metro Campus,10 - 20 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Exams,Cyber Security,Science
Music,Communication,Engineering,Informatics Institute of Technology,Over 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Business Analytics,Arts
Music,Problem Solving,Business,Asia Pacific Institute of Information Technology,20 - 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Large Lectures,Reports,Network Security,Arts
Travel,Leadership,Business,Informatics Institute of Technology,Under 10 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Business Analytics,Arts
Travel,Problem Solving,Engineering,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Reports,Business Analytics,Arts
Sports,Communication,Science,Asia Pacific Institute of Information Technology,Under 10 hours,No,Teaching Style,"More than Rs 3,000,000/=",Online Lectures,Reports,AI & Data Science,Science
Art,Leadership,Engineering,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Reports,Art,Arts
Sports,Problem Solving,Engineering,Esoft Metro Campus,20 - 30 hours,Yes,Internship,"Less than Rs 1,000,000/=",Online Lectures,Reports,AI & Data Science,Science
Art,Communication,Business,Informatics Institute of Technology,20 - 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Reports,Computer Science,Arts
Art,Programming,Business,Informatics Institute of Technology,Over 30 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Software Engineering,Arts
Travel,Communication,Engineering,Esoft Metro Campus,10 - 20 hours,No,Teaching Style,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Business Information Systems,Arts
Reading,Programming,Engineering,ICBT Campus,10 - 20 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Law,Arts
Reading,Problem Solving,Engineering,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,Software Engineering,Arts
Music,Leadership,Business,Informatics Institute of Technology,Over 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Business Information Systems,Arts
Travel,Leadership,Engineering,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Success Rates,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Computer Science,Arts
Art,Problem Solving,Engineering,Esoft Metro Campus,Over 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Reports,Healthcare,Arts
Reading,Leadership,Technology,ICBT Campus,20 - 30 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Computer Science,Arts
Art,Leadership,Science,ICBT Campus,Under 10 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Online Lectures,Reports,Cyber Security,Arts
Reading,Programming,Arts,ICBT Campus,20 - 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Law,Arts
Reading,Problem Solving,Science,Esoft Metro Campus,Over 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Healthcare,Arts
Reading,Communication,Technology,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Art,Arts
Travel,Programming,Arts,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Business Analytics,Arts
Sports,Problem Solving,Engineering,Sri Lanka Institute of Information Technology,20 - 30 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,AI & Data Science,Science
Art,Programming,Technology,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Online Lectures,Reports,AI & Data Science,Arts
Travel,Communication,Engineering,Asia Pacific Institute of Information Technology,Over 30 hours,No,Internship,"More than Rs 3,000,000/=",Online Lectures,Presentations,Computer Science,Arts
Travel,Communication,Business,ICBT Campus,20 - 30 hours,No,Internship,"More than Rs 3,000,000/=",Discussion Groups,Presentations,AI & Data Science,Arts
Travel,Problem Solving,Technology,ICBT Campus,10 - 20 hours,No,Internship,"Less than Rs 1,000,000/=",Discussion Groups,Reports,Healthcare,Arts
Travel,Communication,Business,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,Computer Science,Arts
Travel,Programming,Technology,Informatics Institute of Technology,Under 10 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Online Lectures,Presentations,Business Analytics,Arts
Music,Communication,Technology,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Internship,"More than Rs 3,000,000/=",Large Lectures,Presentations,Computer Science,Arts
Art,Programming,Business,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,Cyber Security,Arts
Travel,Programming,Arts,Esoft Metro Campus,Over 30 hours,No,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Reports,Art,Arts
Art,Communication,Science,Esoft Metro Campus,20 - 30 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Business Management,Arts
Music,Problem Solving,Engineering,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Network Security,Arts
Music,Leadership,Technology,Sri Lanka Institute of Information Technology,20 - 30 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Healthcare,Arts
Art,Communication,Engineering,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Art,Arts
Reading,Programming,Business,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,Art,Arts
Sports,Programming,Engineering,Esoft Metro Campus,Over 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Exams,Software Engineering,Science
Reading,Communication,Business,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Presentations,Law,Arts
Reading,Problem Solving,Engineering,ICBT Campus,20 - 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Presentations,Law,Arts
Reading,Problem Solving,Science,ICBT Campus,Under 10 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Healthcare,Arts
Travel,Programming,Science,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Business Information Systems,Arts
Music,Programming,Science,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Network Security,Arts
Reading,Problem Solving,Science,Informatics Institute of Technology,10 - 20 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Exams,Business Analytics,Arts
Music,Leadership,Science,Informatics Institute of Technology,10 - 20 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Healthcare,Arts
Art,Communication,Science,Informatics Institute of Technology,10 - 20 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Reports,Business Management,Arts
Sports,Programming,Business,Asia Pacific Institute of Information Technology,Under 10 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Business Management,Science
Art,Programming,Technology,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Reports,Healthcare,Arts
Art,Problem Solving,Engineering,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Success Rates,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Law,Arts
Travel,Communication,Science,ICBT Campus,10 - 20 hours,Yes,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Art,Arts
Sports,Problem Solving,Business,Asia Pacific Institute of Information Technology,Under 10 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Cyber Security,Science
Art,Communication,Business,ICBT Campus,Over 30 hours,No,Internship,"Less than Rs 1,000,000/=",Large Lectures,Presentations,Business Information Systems,Arts
Art,Communication,Business,Informatics Institute of Technology,Under 10 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Computer Science,Arts
Sports,Communication,Technology,Informatics Institute of Technology,Under 10 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Reports,Business Information Systems,Science
Sports,Programming,Engineering,Informatics Institute of Technology,Under 10 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Presentations,Software Engineering,Science
Art,Leadership,Technology,Sri Lanka Institute of Information Technology,10 - 20 hours,No,Teaching Style,"Less than Rs 1,000,000/=",Online Lectures,Reports,Business Information Systems,Arts
Sports,Problem Solving,Arts,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Online Lectures,Presentations,Art,Science
Art,Leadership,Business,Esoft Metro Campus,Under 10 hours,No,Success Rates,"More than Rs 3,000,000/=",Online Lectures,Exams,Business Analytics,Arts
Art,Problem Solving,Arts,Esoft Metro Campus,10 - 20 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Art,Arts
Travel,Communication,Science,Esoft Metro Campus,20 - 30 hours,Yes,Internship,"More than Rs 3,000,000/=",Discussion Groups,Presentations,Law,Arts
Reading,Programming,Science,Sri Lanka Institute of Information Technology,20 - 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Large Lectures,Reports,Business Analytics,Arts
Art,Leadership,Technology,Sri Lanka Institute of Information Technology,Under 10 hours,No,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Presentations,AI & Data Science,Arts
Music,Programming,Engineering,Esoft Metro Campus,20 - 30 hours,No,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Business Analytics,Arts
Reading,Problem Solving,Arts,Esoft Metro Campus,Over 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Business Information Systems,Arts
Reading,Programming,Engineering,Asia Pacific Institute of Information Technology,20 - 30 hours,Yes,Internship,"Less than Rs 1,000,000/=",Hands-on Projects,Presentations,Business Information Systems,Arts
Reading,Programming,Technology,Esoft Metro Campus,20 - 30 hours,Yes,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Business Information Systems,Arts
Travel,Leadership,Science,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,AI & Data Science,Arts
Art,Communication,Engineering,ICBT Campus,Under 10 hours,Yes,Internship,"Less than Rs 1,000,000/=",Large Lectures,Reports,Law,Arts
Travel,Programming,Engineering,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Large Lectures,Exams,Computer Science,Arts
Art,Communication,Science,Esoft Metro Campus,Over 30 hours,Yes,Success Rates,"More than Rs 3,000,000/=",Large Lectures,Exams,Network Security,Arts
Travel,Problem Solving,Arts,Sri Lanka Institute of Information Technology,Over 30 hours,Yes,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Law,Arts
Travel,Programming,Science,Sri Lanka Institute of Information Technology,Over 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Business Information Systems,Arts
Music,Leadership,Engineering,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Large Lectures,Exams,Healthcare,Arts
Travel,Problem Solving,Arts,ICBT Campus,Over 30 hours,Yes,Teaching Style,"Less than Rs 1,000,000/=",Large Lectures,Reports,Law,Arts
Sports,Problem Solving,Arts,Informatics Institute of Technology,10 - 20 hours,Yes,Internship,"More than Rs 3,000,000/=",Discussion Groups,Exams,Software Engineering,Science
Music,Leadership,Science,Esoft Metro Campus,20 - 30 hours,Yes,Teaching Style,"More than Rs 3,000,000/=",Hands-on Projects,Exams,Business Management,Arts
Travel,Programming,Engineering,Informatics Institute of Technology,Under 10 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Hands-on Projects,Reports,Business Management,Arts
Reading,Programming,Technology,Informatics Institute of Technology,Under 10 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Online Lectures,Exams,Healthcare,Arts
Sports,Problem Solving,Engineering,Informatics Institute of Technology,Under 10 hours,No,Internship,"Less than Rs 1,000,000/=",Hands-on Projects,Exams,Network Security,Science
Sports,Programming,Business,Sri Lanka Institute of Information Technology,20 - 30 hours,No,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Network Security,Science
Sports,Communication,Technology,Asia Pacific Institute of Information Technology,10 - 20 hours,No,Extra Curricular Activities,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Computer Science,Science
Music,Leadership,Arts,Sri Lanka Institute of Information Technology,Over 30 hours,No,Extra Curricular Activities,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Software Engineering,Arts
Travel,Communication,Technology,Sri Lanka Institute of Information Technology,Over 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Discussion Groups,Presentations,Art,Arts
Travel,Programming,Arts,Informatics Institute of Technology,Under 10 hours,Yes,Internship,"More than Rs 3,000,000/=",Hands-on Projects,Reports,Law,Arts
Reading,Problem Solving,Arts,Sri Lanka Institute of Information Technology,Under 10 hours,Yes,Extra Curricular Activities,"Less than Rs 1,000,000/=",Online Lectures,Reports,Business Analytics,Arts
Reading,Leadership,Technology,Informatics Institute of Technology,20 - 30 hours,No,Internship,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Exams,Business Analytics,Arts
Sports,Programming,Arts,Asia Pacific Institute of Information Technology,10 - 20 hours,Yes,Teaching Style,"Rs 1,000,000 - Rs 3,000,000/=",Large Lectures,Presentations,Art,Science
Reading,Programming,Arts,Esoft Metro Campus,Over 30 hours,No,Extra Curricular Activities,"Less than Rs 1,000,000/=",Hands-on Projects,Reports,Business Management,Arts
Music,Problem Solving,Business,Informatics Institute of Technology,20 - 30 hours,No,Teaching Style,"More than Rs 3,000,000/=",Hands-on Projects,Presentations,Art,Arts
Travel,Problem Solving,Engineering,Asia Pacific Institute of Information Technology,Over 30 hours,Yes,Success Rates,"Rs 1,000,000 - Rs 3,000,000/=",Discussion Groups,Presentations,Law,Arts
